,popularity,revenue,vote_average
4000,11.552247,0.0,7.1
4001,1.73892,0.0,5.3
4002,0.8959459999999999,3166000.0,7.6
4003,19.02965,553198.0,7.0
4004,0.406645,0.0,7.4
4005,3.6875739999999997,0.0,5.2
4006,36.556954,7200000.0,7.8
4007,0.545825,0.0,7.1
4008,18.661541,60141683.0,5.4
4009,0.973582,33400000.0,4.6
4010,14.885388,34585416.0,6.8
4011,12.030456,14400000.0,5.0
4012,18.30961,12348905.0,6.3
4013,6.82919,10000000.0,7.5
4014,9.799357,32230907.0,7.1
4015,10.363642,0.0,7.1
4016,30.583959000000004,26781723.0,7.1
4017,23.672570999999998,5535405.0,7.7
4018,0.20503400000000002,0.0,6.9
4019,5.581743,0.0,6.7
4020,2.4872549999999998,0.0,6.8
4021,0.262135,0.0,5.2
4022,23.419061,3325038.0,6.8
4023,7.958831,9726954.0,7.2
4024,25.722747000000002,6854611.0,6.8
4025,9.774125999999999,0.0,7.2
4026,0.197469,0.0,7.0
4027,0.142255,0.0,7.0
4028,0.30188400000000004,71904.0,7.1
4029,0.424957,0.0,5.5
4030,3.393648,0.0,6.1
4031,5.025938,0.0,6.1
4032,4.624691,107559.0,6.0
4033,12.204569000000001,324138.0,6.6
4034,0.6302260000000001,0.0,5.0
4035,4.2704889999999995,0.0,4.9
4036,3.674294,0.0,4.8
4037,4.623059,5731103.0,7.0
4038,1.9467150000000002,0.0,4.8
4039,27.940093,495303.0,6.3
4040,1.7595060000000002,0.0,4.5
4041,8.395624,8176544.0,7.4
4042,8.248149,0.0,3.1
4043,0.628051,6892000.0,7.0
4044,0.500753,0.0,4.6
4045,0.376662,565592.0,10.0
4046,1.606314,11000000.0,6.9
4047,0.19726400000000002,0.0,4.7
4048,5.759493,0.0,5.6
4049,6.86302,0.0,6.7
4050,32.875469,83320000.0,7.2
4051,0.015295,0.0,0.0
4052,14.206525,36690067.0,5.7
4053,12.639469,21930418.0,5.1
4054,2.371477,0.0,6.2
4055,2.470443,0.0,6.6
4056,1.532518,0.0,5.7
4057,0.1813,9132000.0,5.8
4058,2.713171,0.0,5.6
4059,0.258413,0.0,3.5
4060,2.0257009999999998,0.0,5.4
4061,2.6598040000000003,0.0,5.7
4062,8.38717,23650000.0,7.6
4063,6.677092999999999,480811.0,6.7
4064,2.5263560000000003,0.0,7.0
4065,0.039007,3330.0,0.0
4066,31.691616999999997,30448000.0,7.1
4067,0.47908999999999996,0.0,4.5
4068,0.027801,0.0,0.0
4069,2.122451,0.0,5.1
4070,0.803761,0.0,4.1
4071,41.298722999999995,78898765.0,6.9
4072,1.7913310000000002,0.0,5.3
4073,10.664202000000001,18344729.0,7.0
4074,100.87679399999999,14674076.0,6.6
4075,13.223111,18016290.0,6.6
4076,22.139842,13129846.0,8.0
4077,37.117362,24600832.0,7.3
4078,15.046612,0.0,7.2
4079,15.557144000000001,11540607.0,7.2
4080,11.666319999999999,13101672.0,5.2
4081,34.938177,70000000.0,7.9
4082,5.961119,34522221.0,6.8
4083,17.639478,7600000.0,7.6
4084,1.867004,9172000.0,6.5
4085,13.944645000000001,1477676.0,7.3
4086,2.304552,0.0,6.6
4087,7.792851,6003587.0,7.1
4088,14.799323000000001,15992615.0,7.6
4089,23.281616,20908467.0,7.6
4090,20.331592999999998,4601043.0,6.7
4091,5.381536,7800000.0,6.8
4092,20.834882999999998,13831503.0,6.8
4093,14.045886999999999,13885802.0,7.6
4094,0.48397399999999996,4000000.0,4.8
4095,9.719094,0.0,7.0
4096,16.930914,7871522.0,7.7
4097,28.819423999999998,11122090.0,6.3
4098,18.223139,0.0,7.2
4099,12.999023,5967038.0,6.3
4100,6.7288820000000005,2801508.0,5.6
4101,1.9568599999999998,2506446.0,4.8
4102,7.151153999999999,0.0,5.9
4103,14.846001000000001,5179037.0,6.3
4104,14.082510000000001,11125849.0,7.8
4105,0.031947,1672730.0,5.0
4106,2.2837959999999997,1431623.0,7.2
4107,18.224326,1477002.0,6.8
4108,3.4315900000000004,0.0,7.6
4109,4.749885,876302.0,6.5
4110,3.9800720000000003,653621.0,6.8
4111,1.096355,0.0,7.1
4112,1.196943,0.0,5.6
4113,3.125382,563706.0,4.6
4114,5.261065,390659.0,6.3
4115,6.3377349999999995,0.0,6.1
4116,7.359286,0.0,5.2
4117,1.8921830000000002,124494.0,5.8
4118,0.001186,0.0,0.0
4119,3.9114449999999996,120620.0,7.1
4120,2.559806,111731.0,5.9
4121,0.744406,0.0,6.3
4122,5.16023,187674.0,5.2
4123,0.25359499999999996,1100000.0,6.7
4124,0.046868,0.0,5.0
4125,2.952932,0.0,5.6
4126,5.563068,0.0,5.5
4127,1.1610340000000001,0.0,6.4
4128,7.502934,54207.0,5.9
4129,5.350423,0.0,6.1
4130,4.261508999999999,622806.0,6.3
4131,6.752141,0.0,6.0
4132,20.362373,3983997.0,6.7
4133,5.099368,0.0,5.4
4134,6.632891000000001,0.0,5.3
4135,1.7173759999999998,0.0,6.8
4136,4.922397,0.0,6.9
4137,13.222268,0.0,6.1
4138,7.4477139999999995,95000.0,5.5
4139,9.68793,0.0,5.2
4140,0.050625,0.0,0.0
4141,5.941852,11833696.0,6.7
4142,0.174311,0.0,3.5
4143,0.361554,0.0,5.8
4144,8.055083999999999,0.0,7.2
4145,4.346271,0.0,4.4
4146,3.419685,0.0,5.6
4147,5.100741,0.0,5.7
4148,2.253589,0.0,6.7
4149,0.209475,0.0,6.6
4150,3.613577,0.0,5.3
4151,1.296784,0.0,6.3
4152,4.508290000000001,0.0,5.2
4153,8.902102000000001,0.0,6.1
4154,1.619635,0.0,5.9
4155,1.002585,0.0,3.9
4156,1.332804,0.0,4.2
4157,2.00163,0.0,4.4
4158,1.187764,0.0,4.4
4159,6.463806,0.0,6.7
4160,1.9802650000000002,0.0,6.7
4161,3.6961230000000005,0.0,5.8
4162,32.841229,19152480.0,6.6
4163,8.518866000000001,864659.0,7.4
4164,4.892203,0.0,7.8
4165,4.665026,0.0,5.8
4166,1.294967,222000.0,5.6
4167,14.331992000000001,2957978.0,7.5
4168,3.068463,0.0,5.8
4169,1.367751,0.0,6.9
4170,14.838985999999998,67738090.0,5.6
4171,1.950959,0.0,7.2
4172,14.884756,8000000.0,7.6
4173,41.996783,9440272.0,8.0
4174,2.1794279999999997,0.0,6.2
4175,12.471239,21107746.0,6.8
4176,13.315382999999999,8844595.0,5.5
4177,3.363321,0.0,5.6
4178,1.6991009999999998,841733.0,5.3
4179,0.320387,0.0,6.7
4180,0.692497,621951.0,6.4
4181,0.023436000000000002,0.0,5.5
4182,0.749699,0.0,6.8
4183,11.756943,6800000.0,6.7
4184,0.225627,0.0,6.9
4185,6.833164,0.0,5.3
4186,0.060127,0.0,0.0
4187,1.9594049999999998,0.0,4.2
4188,0.21544000000000002,0.0,5.0
4189,27.36562,7267585.0,7.2
4190,8.650779,150277.0,6.3
4191,2.492747,0.0,4.9
4192,2.7564349999999997,23311391.0,7.0
4193,18.828682999999998,9700000.0,6.1
4194,6.9796380000000005,0.0,6.4
4195,26.281839,572809.0,6.3
4196,2.079125,1943649.0,5.5
4197,3.939753,0.0,6.0
4198,14.017809,4235151.0,7.3
4199,3.677831,0.0,5.9
4200,3.426314,7433101.0,7.2
4201,6.915201,30500000.0,7.2
4202,8.535178,5400000.0,7.1
4203,2.160586,0.0,6.0
4204,0.796009,6033999.0,6.3
4205,0.13455999999999999,2592808.0,4.3
4206,4.554574,0.0,6.8
4207,3.215465,0.0,4.6
4208,1.4943600000000001,0.0,7.6
4209,20.810292,4420000.0,7.5
4210,0.122704,0.0,0.0
4211,3.654018,0.0,6.7
4212,3.313339,0.0,6.5
4213,5.379319000000001,0.0,4.4
4214,9.672989999999999,22179430.0,6.7
4215,17.49699,11806119.0,6.6
4216,12.2624,9600000.0,7.9
4217,13.291991000000001,7412216.0,6.8
4218,13.788054,11098131.0,6.9
4219,3.990215,10013424.0,5.9
4220,6.526587999999999,0.0,4.5
4221,11.145914999999999,7000000.0,7.3
4222,5.446832,0.0,6.5
4223,10.009994,2375097.0,7.1
4224,58.594852,97009150.0,6.8
4225,11.353439999999999,2300000.0,6.7
4226,8.589355,0.0,7.4
4227,2.828303,0.0,6.5
4228,3.618646,712294.0,6.5
4229,15.017068,3566225.0,5.5
4230,5.817519,418961.0,6.1
4231,9.856826,416925.0,6.8
4232,4.262373999999999,414404.0,6.5
4233,0.061239999999999996,0.0,3.0
4234,11.064228,373967.0,6.2
4235,1.7423830000000002,0.0,5.7
4236,0.414754,330048.0,4.5
4237,12.677016,0.0,5.7
4238,28.27648,8500000.0,8.1
4239,0.87066,0.0,6.4
4240,7.5591,173066.0,5.9
4241,2.0281700000000003,0.0,3.5
4242,0.8590139999999999,0.0,6.6
4243,0.071377,0.0,6.0
4244,0.193172,0.0,6.0
4245,4.680206,32000.0,6.6
4246,1.20173,0.0,6.8
4247,0.094105,0.0,10.0
4248,14.504326,1165882.0,5.1
4249,10.322858,0.0,6.5
4250,1.404175,0.0,6.9
4251,0.077876,0.0,6.8
4252,0.35819,0.0,6.0
4253,9.159265,0.0,6.4
4254,1.8936970000000002,1500000.0,2.6
4255,0.71087,0.0,7.4
4256,1.105357,0.0,4.2
4257,2.815228,0.0,3.3
4258,0.446858,0.0,7.5
4259,80.171283,184925486.0,6.9
4260,0.6848810000000001,0.0,6.8
4261,3.598457,2620000.0,5.4
4262,1.452152,0.0,5.9
4263,1.193219,0.0,5.3
4264,8.039223,0.0,5.2
4265,2.486992,0.0,6.2
4266,0.43049,0.0,0.0
4267,9.815394,0.0,6.1
4268,16.032594,3897569.0,7.5
4269,0.592821,0.0,0.0
4270,10.240917,0.0,7.7
4271,3.443916,0.0,6.7
4272,0.07206599999999999,639000.0,5.0
4273,0.430758,619042.0,6.5
4274,0.143784,1632.0,6.1
4275,0.077873,0.0,0.0
4276,0.319792,0.0,2.8
4277,1.600797,0.0,5.9
4278,0.28513099999999997,0.0,2.3
4279,5.628399,0.0,3.2
4280,5.065752,0.0,5.0
4281,18.426825,6000000.0,7.7
4282,16.517777,21722776.0,6.0
4283,6.903314,11000000.0,7.4
4284,4.45544,3412497.0,5.3
4285,0.106949,0.0,5.9
4286,0.165909,0.0,5.8
4287,9.903992,8500000.0,6.7
4288,7.700189999999999,6000000.0,6.8
4289,4.480579,0.0,4.1
4290,10.869492,0.0,6.7
4291,63.655972999999996,103911669.0,7.2
4292,16.312803,18492362.0,6.6
4293,0.025363999999999998,0.0,0.0
4294,1.4734049999999999,0.0,5.7
4295,8.109958,0.0,6.8
4296,7.142448,0.0,6.8
4297,6.920872999999999,7000000.0,6.9
4298,4.826908,0.0,6.5
4299,3.085411,2861020.0,6.3
4300,66.925866,14661007.0,8.0
4301,1.280733,0.0,6.4
4302,88.377076,6000000.0,8.1
4303,9.683622,0.0,7.8
4304,1.6116,0.0,5.8
4305,0.002386,0.0,0.0
4306,0.097913,25000.0,6.8
4307,0.047781,0.0,0.0
4308,20.422245999999998,0.0,4.1
4309,0.021678,0.0,0.0
4310,1.998557,0.0,6.0
4311,8.148187,0.0,3.9
4312,2.968235,2736000.0,6.8
4313,1.36514,0.0,4.4
4314,0.057564,0.0,4.8
4315,8.001156,2850263.0,6.1
4316,1.079125,0.0,6.7
4317,1.906151,0.0,4.2
4318,0.100533,0.0,2.0
4319,10.230583,18637690.0,6.2
4320,12.818441,0.0,7.2
4321,1.220072,1400000.0,6.8
4322,0.014406,0.0,5.0
4323,0.552361,0.0,6.9
4324,0.147886,0.0,6.0
4325,7.717237,0.0,5.7
4326,40.285095,4105187.0,7.3
4327,0.249457,0.0,3.1
4328,0.447166,0.0,4.4
4329,43.729123,10462500.0,7.9
4330,4.653047,0.0,6.1
4331,3.000435,0.0,7.0
4332,11.095414,0.0,6.3
4333,72.19808,117235147.0,7.5
4334,0.926084,0.0,4.1
4335,2.833166,37600000.0,6.1
4336,41.972328999999995,62882090.0,5.5
4337,58.845025,28262574.0,8.0
4338,6.5328550000000005,17985893.0,6.4
4339,48.901542,59600000.0,6.9
4340,20.649145,18112929.0,4.9
4341,22.583834,14564027.0,6.9
4342,6.96858,23507567.0,5.7
4343,6.926926,10047674.0,5.6
4344,3.322721,10037390.0,5.9
4345,26.881611,16566240.0,6.9
4346,9.773398,13350369.0,6.9
4347,13.152822,101758490.0,4.6
4348,4.289003,40000000.0,6.6
4349,1.444258,9000000.0,5.5
4350,14.139004000000002,46243000.0,6.7
4351,3.8510000000000004,7800000.0,6.2
4352,2.162522,0.0,7.2
4353,17.845160999999997,6833445.0,5.0
4354,0.42583000000000004,0.0,7.5
4355,9.115486,9138338.0,6.6
4356,15.017161999999999,0.0,7.4
4357,1.86221,5355847.0,6.8
4358,1.334481,0.0,6.0
4359,15.699363,5284309.0,6.7
4360,17.806082,3538446.0,6.7
4361,10.12895,3123963.0,6.7
4362,4.805651,0.0,6.7
4363,5.247955999999999,0.0,7.4
4364,4.86805,2057193.0,5.4
4365,0.36731199999999997,0.0,6.6
4366,5.3231839999999995,1678874.0,7.2
4367,3.4241580000000003,1744858.0,6.3
4368,9.954848,0.0,6.7
4369,0.29245,0.0,6.7
4370,0.28008299999999997,852206.0,7.3
4371,0.043023,623791.0,6.1
4372,5.06516,0.0,6.2
4373,3.65924,0.0,5.9
4374,0.9483159999999999,0.0,7.7
4375,0.6726949999999999,464000.0,6.7
4376,16.570708,0.0,6.4
4377,0.51799,0.0,6.8
4378,8.542921,0.0,6.7
4379,37.555398,336472.0,7.5
4380,5.20209,0.0,5.6
4381,8.887411,444575.0,7.5
4382,0.7485649999999999,274661.0,6.6
4383,0.436148,0.0,4.7
4384,0.030253,0.0,2.8
4385,0.6900890000000001,0.0,4.0
4386,1.883947,0.0,7.2
4387,1.631274,0.0,6.4
